Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income,Rating,A,B,C,Mandalay,Naypyitaw,Yangon,Member,Normal,Female,Male,Electronic accessories,Fashion accessories,Food and beverages,Health and beauty,Home and lifestyle,Sports and travel,Cash,Credit card,Ewallet,Day of week
74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415,9.1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,5
15.28,5,3.82,80.22,76.4,4.761904762,3.82,9.6,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,4
46.33,7,16.2155,340.5255,324.31,4.761904762,16.2155,7.4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,6
58.22,8,23.288,489.048,465.76,4.761904762,23.288,8.4,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,6
86.31,7,30.2085,634.3785,604.17,4.761904762,30.2085,5.3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,4
85.39,7,29.8865,627.6165,597.73,4.761904762,29.8865,4.1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
68.84,6,20.652,433.692,413.04,4.761904762,20.652,5.8,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
73.56,10,36.78,772.38,735.6,4.761904762,36.78,8,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,6
36.26,2,3.626,76.146,72.52,4.761904762,3.626,7.2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,3
54.84,3,8.226,172.746,164.52,4.761904762,8.226,5.9,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2
14.48,4,2.896,60.816,57.92,4.761904762,2.896,4.5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2
25.51,4,5.102,107.142,102.04,4.761904762,5.102,6.8,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,5
